
Name                            BasePriority Company                   
----                            ------------ -------                   
adb                                        8                           
AggregatorHost                             8                           
aihost                                     8                           
AIXHost                                    8 Microsoft Corporation     
AmneziaVPN                                 8 AmneziaVPN                
AmneziaVPN-service                         8                           
AmneziaVPN-service                         8                           
AppActions                                 8                           
ApplicationFrameHost                       8 Microsoft Corporation     
AsusAppService                             8                           
AsusOptimization                           8                           
AsusOptimizationStartupTask                8 ASUSTeK COMPUTER INC.     
AsusOSD                                    8                           
AsusPTPService                             8                           
AsusScreenXpertHostService                 8                           
AsusScreenXpertUI                          8                           
AsusSoftwareManager                        8                           
AsusSoftwareManagerAgent                   8                           
AsusSwitch                                 8                           
AsusSystemAnalysis                         8                           
AsusSystemDiagnosis                        8                           
backgroundTaskHost                         8 Microsoft Corporation     
backgroundTaskHost                         8 Microsoft Corporation     
backgroundTaskHost                         8 Microsoft Corporation     
backgroundTaskHost                         8 Microsoft Corporation     
backgroundTaskHost                         8 Microsoft Corporation     
backgroundTaskHost                         8 Microsoft Corporation     
backgroundTaskHost                         8 Microsoft Corporation     
backgroundTaskHost                         8 Microsoft Corporation     
browser                                    8 YANDEX LLC                
browser                                   10 YANDEX LLC                
browser                                    8 YANDEX LLC                
browser                                    8 YANDEX LLC                
browser                                    8 YANDEX LLC                
browser                                    8 YANDEX LLC                
browser                                    8 YANDEX LLC                
chrome                                     8 Google LLC                
chrome                                     8 Google LLC                
chrome                                     8 Google LLC                
chrome                                     8 Google LLC                
chrome                                     8 Google LLC                
chrome                                    10 Google LLC                
chrome                                     8 Google LLC                
chrome                                     8 Google LLC                
ClickToDo                                  8 Microsoft Corporation     
conhost                                    8                           
conhost                                    8                           
conhost                                    8                           
CrossDeviceResume                          8 Microsoft Corporation     
CrossDeviceService                         8 Microsoft Corporation     
csrss                                     13                           
csrss                                     13                           
ctfmon                                    13                           
dasHost                                    8                           
dwm                                       13                           
explorer                                   8 Microsoft Corporation     
FileCoAuth                                 8 Microsoft Corporation     
fontdrvhost                                8                           
fontdrvhost                                8                           
GlideXNearService                          8                           
GlideXRemoteService                        8                           
GlideXService                              8                           
GlideXServiceExt                           8                           
ICPS                                       8 Intel                     
IDBWM                                      8                           
IDBWMService                               8                           
Intel_PIE_Service                          8                           
IntelAnalyticsService                      8                           
IntelAudioService                          8                           
IntelConnect                               8                           
IntelConnectivityNetworkService            8                           
IntelConnectService                        8                           
IntelGraphicsSoftware.Service              8                           
IntelProviderDataHelperService             8                           
ipf_helper                                 8 Intel Corporation         
ipf_uf                                    13                           
ipfsvc                                     8                           
LockApp                                    8 Microsoft Corporation     
LsaIso                                     8                           
lsass                                      9                           
Memory Compression                         8                           
MoNotificationUx                           8 Корпорация Майкрософт (...
MpDefenderCoreService                      8                           
msedge                                     8 Microsoft Corporation     
msedge                                    10 Microsoft Corporation     
msedge                                     8 Microsoft Corporation     
msedge                                     8 Microsoft Corporation     
msedge                                     8 Microsoft Corporation     
msedgewebview2                             8 Microsoft Corporation     
msedgewebview2                             8 Microsoft Corporation     
msedgewebview2                            10 Microsoft Corporation     
