
   Id Name                            WorkingSet         CPU
   -- ----                            ----------         ---
 2088 CirrusLogicAudioDeviceDashboard   76943360   12,140625
 2520 chrome                            34598912      6,1875
 2528 msedgewebview2                    35696640   39,953125
 3068 RuntimeBroker                     27451392    7,296875
 4068 powershell                       108040192   51,171875
 4176 sihost                            29200384   45,453125
 4240 svchost                           25223168      7,0625
 4548 chrome                            75907072   52,796875
 5132 AsusSoftwareManagerAgent          27058176     7,03125
 5568 chrome                           151162880  129,859375
 7540 wallpaper64                        8679424      42,875
 7980 ipf_helper                         6754304  371,265625
 8180 msedge                            71802880    8,453125
 8252 msedgewebview2                    10072064   10,640625
 8448 chrome                           447381504    3823,625
10252 ctfmon                            21504000      28,875
10540 explorer                         482213888  282,765625
10952 PhoneExperienceHost               83152896   11,921875
11048 Telegram                         440143872  2339,28125
11440 CrossDeviceService                41369600    6,015625
11912 chrome                           293339136 1048,453125
11996 msedgewebview2                    10612736     29,9375
12228 chrome                            53538816  459,140625
12264 chrome                            11972608     12,4375
12516 StartMenuExperienceHost          111591424          11
12524 svchost                           13238272    7,078125
12832 Widgets                           32415744    7,046875
13012 chrome                            13365248  150,015625
14204 chrome                            66740224    10,03125
15228 TextInputHost                     47026176   14,484375
15336 chrome                            79273984    51,03125
15548 msedgewebview2                    46084096     300,625
15972 chrome                           189235200  107,703125
16160 chrome                            38137856    9,859375
16436 chrome                            73457664   49,515625
16644 chrome                            63066112   32,078125
16700 chrome                            99225600    5,953125
16904 chrome                           442441728   566,28125
17052 chrome                           106938368  625,734375
17268 chrome                            97058816   14,484375
17304 chrome                            61898752   31,234375
17536 RtkAudUService64                   9371648   15,203125
18300 ms-teams                          72486912     425,125
18544 SystemSettings                     2183168      5,0625
19052 WindowsTerminal                  190013440   48,953125
19596 ICPS                              49709056    6,234375
20888 AmneziaVPN                        28569600   14,390625
21884 chrome                           931123200  809,359375
22960 OneDrive                         105279488     22,9375
23272 chrome                           163430400   51,671875
25156 browser                          122703872    69,84375


