top -b -n 1 > 03.txt 2>&1


top - 00:42:47 up 15 min,  1 user,  load average: 0.18, 0.90, 1.15
Tasks: 420 total,   1 running, 415 sleeping,   0 stopped,   4 zombie
%Cpu(s):  5.6 us,  3.3 sy,  0.0 ni, 91.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  31054.8 total,  21310.7 free,   6937.4 used,   3604.9 buff/cache     
MiB Swap:   7630.0 total,   7630.0 free,      0.0 used.  24117.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   7491 whoami    20   0   13512   5660   3548 R   8.3   0.0   0:00.02 top
      1 root      20   0   26632  17048  10624 S   0.0   0.1   0:01.97 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftir+
     15 root      20   0       0      0      0 I   0.0   0.0   0:03.23 rcu_pre+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.10 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     25 root      20   0       0      0      0 I   0.0   0.0   0:00.81 kworker+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:00.09 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.26 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     34 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     35 root      rt   0       0      0      0 S   0.0   0.0   0:00.10 migrati+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftir+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     40 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     41 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     47 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     53 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     58 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     59 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     63 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
     64 root      20   0       0      0      0 I   0.0   0.0   0:00.43 kworker+
     65 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     66 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     67 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     68 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     69 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     70 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     71 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     72 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     75 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     76 root      20   0       0      0      0 S   0.0   0.0   0:00.05 kcompac+
     77 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     78 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.03 irq/9-a+
     84 root      20   0       0      0      0 I   0.0   0.0   0:00.51 kworker+
     85 root      20   0       0      0      0 I   0.0   0.0   0:01.25 kworker+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     90 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     93 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.39 kworker+
     98 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
     99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125+
    101 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    104 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/126+
    105 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/127+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    107 root      20   0       0      0      0 I   0.0   0.0   0:00.29 kworker+
    109 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    110 root      20   0       0      0      0 S   0.0   0.0   0:00.03 hwrng
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    114 root       0 -20       0      0      0 I   0.0   0.0   0:00.32 kworker+
    115 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    117 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.13 kworker+
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.62 kworker+
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.22 kworker+
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
