ps -eo pid,stat,nlwp,comm --sort=-nlwp > 04.txt


    PID STAT NLWP COMMAND
   4070 SLl    38 chrome
   5415 Sl     30 Telegram
   3230 Ssl    29 gnome-shell
   5015 Sl     23 chrome
   4643 Sl     20 chrome
   5077 Sl     20 chrome
   4121 Sl     19 chrome
   4376 Sl     19 chrome
   4378 Sl     18 chrome
   4423 Sl     18 chrome
   4460 Sl     18 chrome
   4554 Sl     18 chrome
   4560 Sl     18 chrome
   4622 Sl     18 chrome
   4711 Sl     18 chrome
   4876 Sl     18 chrome
   4892 Sl     18 chrome
   4261 Sl     16 chrome
   4269 Sl     16 chrome
   4997 Sl     16 chrome
   1574 Ssl    15 snapd
   4371 Sl     15 chrome
   4400 Sl     15 chrome
   4472 Sl     15 chrome
   4486 Sl     15 chrome
   4591 Sl     15 chrome
   4656 Sl     15 chrome
   4684 Sl     15 chrome
   4792 Sl     15 chrome
   4815 Sl     15 chrome
   4841 Sl     15 chrome
   4974 Sl     15 chrome
   5086 Sl     15 chrome
   3825 Sl     14 gjs
   4124 Sl     14 chrome
   5042 Sl     14 chrome
   6033 Sl     13 nautilus
   3349 Sl     12 gjs
   3554 Sl     12 gjs
   6988 Sl     12 papers
   7561 Sl     11 chrome
   3588 Ssl    10 evolution-calen
   4153 Sl     10 mutter-x11-fram
   4175 Sl      9 chrome
   4508 Sl      9 chrome
   6577 Sl      9 snap
   7594 Sl      9 chrome
   3415 Sl      8 evolution-alarm
   3600 SNsl    8 localsearch-3
   3050 Ssl     7 xdg-document-po
   3202 Sl      7 gvfsd-fuse
   3329 Sl      7 gnome-shell-cal
   3659 Ssl     7 evolution-addre
   3762 Ssl     7 xdg-desktop-por
   5275 Ssl     7 obexd
   7096 Ssl     7 gnome-terminal-
   1588 Ssl     6 udisksd
   3020 S<sl    6 wireplumber
   3414 Sl      6 update-notifier
   3581 Sl      6 ibus-extension-
   3768 Ssl     6 xdg-desktop-por
   3810 Ssl     6 xdg-desktop-por
   4172 Sl      6 ibus-x11
   1587 Ssl     5 thermald
   1962 Ssl     5 gdm3
   3005 SLsl    5 gnome-keyring-d
   3205 Ssl     5 gnome-session-s
   3301 Ssl     5 at-spi-bus-laun
   3337 Ssl     5 evolution-sourc
   3368 Ssl     5 gsd-a11y-settin
   3370 Ssl     5 gsd-color
   3373 Ssl     5 gsd-datetime
   3377 Ssl     5 gsd-housekeepin
   3378 Ssl     5 gsd-keyboard
   3385 Ssl     5 gsd-media-keys
   3389 Ssl     5 gsd-power
   3401 Ssl     5 gsd-sharing
   3404 Ssl     5 gsd-smartcard
   3410 Ssl     5 gsd-sound
   3416 Ssl     5 gsd-usb-protect
   3417 Ssl     5 gsd-wwan
   3455 Sl      5 goa-daemon
   3532 Ssl     5 gvfs-udisks2-vo
   3661 Ssl     5 gvfs-afc-volume
   3742 Sl      5 gvfsd-trash
   3940 Sl      5 snapd-desktop-i
   4125 Sl      5 Xwayland
   4147 Ssl     5 gsd-xsettings
   6069 Sl      5 gvfsd-network
   1564 Ssl     4 polkitd
   1576 Ssl     4 accounts-daemon
   1579 Ssl     4 switcheroo-cont
   1654 Ssl     4 rsyslogd
   1670 Ssl     4 NetworkManager
   1721 Ssl     4 ModemManager
   1724 Ssl     4 boltd
   1783 Ssl     4 upowerd
   2680 Ssl     4 colord
   2900 Sl      4 gdm-session-wor
   2960 Ssl     4 cups-browsed
   2961 Ssl     4 power-profiles-
   3061 Ssl     4 xdg-permission-
   3106 Ssl+    4 gdm-wayland-ses
   3119 Sl+     4 gnome-session-i
   3180 Ssl     4 gvfsd
   3310 Sl      4 at-spi2-registr
   3359 Ssl     4 ibus-daemon
   3391 Ssl     4 gsd-print-notif
   3392 Ssl     4 gsd-rfkill
   3396 Ssl     4 gsd-screensaver
   3422 Sl      4 gsd-disk-utilit
   3538 Sl      4 gsd-printer
   3549 Sl      4 goa-identity-se
   3578 Sl      4 ibus-memconf
   3592 Sl      4 ibus-portal
   3649 Ssl     4 gvfs-goa-volume
   3674 Ssl     4 gvfs-mtp-volume
   3684 Ssl     4 gvfs-gphoto2-vo
   3708 Sl      4 ibus-engine-sim
   3733 Ssl     4 dconf-service
   3955 Ssl     4 gvfsd-metadata
   5459 Ssl     4 glib-pacrunner
   6067 Sl      4 gvfsd-recent
   6083 Sl      4 gvfsd-dnssd
   6089 Sl      4 gvfsd-wsdd
   6113 Sl      4 gvfsd-computer
    423 Ssl     3 systemd-timesyn
   2300 SNsl    3 rtkit-daemon
   3000 S<sl    3 pipewire
   3024 S<sl    3 pipewire-pulse
   3161 Ssl     3 gcr-ssh-agent
   3522 Sl      3 glycin-image-rs
   4078 Sl      3 chrome_crashpad
   1946 Ssl     2 unattended-upgr
   1952 Sl      2 AmneziaVPN-serv
   3001 Ssl     2 pipewire
   3162 Ssl     2 gnome-session-c
   4080 Sl      2 chrome_crashpad
      1 Ss      1 systemd
      2 S       1 kthreadd
      3 S       1 pool_workqueue_release
      4 I<      1 kworker/R-rcu_gp
      5 I<      1 kworker/R-sync_wq
      6 I<      1 kworker/R-kvfree_rcu_reclaim
      7 I<      1 kworker/R-slub_flushwq
      8 I<      1 kworker/R-netns
     10 I<      1 kworker/0:0H-events_highpri
     11 I       1 kworker/0:1-events
     13 I<      1 kworker/R-mm_percpu_wq
