lsmod > 11_2.txt 2>&1


Module                  Size  Used by
ccm                    20480  6
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
nft_chain_nat          12288  2
xt_mark                12288  2
xt_cgroup              12288  2
xt_MASQUERADE          16384  2
nf_nat                 61440  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack          196608  2 nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
ip6t_REJECT            12288  4
nf_reject_ipv6         20480  1 ip6t_REJECT
ipt_REJECT             12288  3
nf_reject_ipv4         12288  1 ipt_REJECT
xt_tcpudp              16384  0
nft_compat             20480  13
nf_tables             393216  183 nft_compat,nft_chain_nat
rfcomm                102400  21
cmac                   12288  3
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
qrtr                   53248  2
bnep                   32768  2
binfmt_misc            24576  1
snd_soc_sof_sdw        53248  2
snd_soc_intel_hda_dsp_common    16384  1 snd_soc_sof_sdw
snd_soc_sdw_utils     106496  1 snd_soc_sof_sdw
snd_sof_probes         24576  0
snd_soc_cs42l43       380928  1
pinctrl_cs42l43        28672  0
snd_soc_cs42l43_sdw    12288  1 snd_soc_cs42l43
spi_cs42l43            20480  0
snd_soc_cs35l56_sdw    20480  4
snd_soc_cs35l56        69632  1 snd_soc_cs35l56_sdw
snd_soc_cs35l56_shared    45056  2 snd_soc_cs35l56,snd_soc_cs35l56_sdw
cs42l43_sdw            16384  0
snd_soc_cs_amp_lib     16384  2 snd_soc_cs35l56_shared,snd_soc_cs35l56
regmap_sdw             12288  1 cs42l43_sdw
snd_soc_wm_adsp        53248  1 snd_soc_cs35l56
cs42l43                28672  1 cs42l43_sdw
cs_dsp                 73728  3 snd_soc_cs35l56_shared,snd_soc_wm_adsp,snd_soc_cs_amp_lib
snd_hda_codec_intelhdmi    24576  1
snd_soc_dmic           12288  1
intel_uncore_frequency    12288  0
intel_uncore_frequency_common    20480  1 intel_uncore_frequency
x86_pkg_temp_thermal    20480  0
intel_powerclamp       24576  0
coretemp               24576  0
nls_iso8859_1          12288  1
snd_hda_intel          61440  0
snd_sof_pci_intel_lnl    16384  0
snd_sof_pci_intel_mtl    36864  1 snd_sof_pci_intel_lnl
snd_sof_intel_hda_generic    36864  2 snd_sof_pci_intel_mtl,snd_sof_pci_intel_lnl
soundwire_intel        86016  4 snd_sof_intel_hda_generic
snd_sof_intel_hda_sdw_bpt    20480  1 soundwire_intel
snd_sof_intel_hda_common   192512  4 snd_sof_pci_intel_mtl,snd_sof_intel_hda_sdw_bpt,snd_sof_pci_intel_lnl,snd_sof_intel_hda_generic
snd_soc_hdac_hda       20480  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    45056  5 snd_sof_intel_hda_sdw_bpt,snd_sof_pci_intel_lnl,soundwire_intel,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_intel_hda      24576  2 snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_hda_codec_hdmi     65536  1 snd_hda_codec_intelhdmi
soundwire_cadence      53248  1 soundwire_intel
snd_sof_pci            24576  3 snd_sof_pci_intel_mtl,snd_sof_pci_intel_lnl,snd_sof_intel_hda_generic
snd_sof_xtensa_dsp     12288  1 snd_sof_intel_hda_generic
snd_sof               413696  8 snd_sof_pci_intel_mtl,snd_sof_intel_hda_sdw_bpt,snd_sof_pci_intel_lnl,snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda_generic,snd_sof_probes,snd_sof_intel_hda
snd_sof_utils          16384  1 snd_sof
snd_hda_ext_core       32768  5 snd_sof_intel_hda_sdw_bpt,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_hda_codec         204800  6 snd_hda_codec_hdmi,snd_hda_intel,snd_soc_intel_hda_dsp_common,snd_soc_hdac_hda,snd_sof_intel_hda,snd_hda_codec_intelhdmi
snd_hda_core          151552  9 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_soc_intel_hda_dsp_common,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda,snd_hda_codec_intelhdmi
snd_intel_dspcfg       45056  4 snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_intel_sdw_acpi     16384  2 snd_intel_dspcfg,snd_sof_intel_hda_generic
snd_soc_acpi_intel_match   139264  3 snd_sof_pci_intel_mtl,snd_sof_pci_intel_lnl,snd_sof_intel_hda_generic
snd_soc_acpi_intel_sdca_quirks    12288  1 snd_soc_acpi_intel_match
soundwire_generic_allocation    24576  1 soundwire_intel
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_generic
snd_hwdep              24576  1 snd_hda_codec
soundwire_bus        1179648  9 regmap_sdw,snd_soc_cs35l56,snd_soc_cs42l43_sdw,soundwire_intel,cs42l43_sdw,snd_soc_cs35l56_sdw,snd_soc_sdw_utils,soundwire_generic_allocation,soundwire_cadence
snd_soc_sdca           86016  2 snd_soc_acpi_intel_sdca_quirks,soundwire_bus
kvm_intel             577536  0
